"query","intent","entities"
"Week 1 readings Prof. Smith","find_lecture_materials","[('Prof. Smith', 'professor'), ('1', 'week'), ('readings', 'content_type')]"
"Prof. Lee CHEM102 week 10 readings","find_lecture_materials","[('Prof. Lee', 'professor'), ('CHEM102', 'course'), ('10', 'week'), ('readings', 'content_type')]"
"Dr. Garcia CS101 assignments","find_assignments","[('Dr. Garcia', 'professor'), ('CS101', 'course'), ('assignments', 'content_type')]"
"MATH202 lecture notes week 9","find_lecture_materials","[('MATH202', 'course'), ('9', 'week'), ('lecture notes', 'content_type')]"
"CHEM102 assignments week 1","find_lecture_materials","[('CHEM102', 'course'), ('1', 'week'), ('assignments', 'content_type')]"
"Prof. Lee CHEM102 assignments","find_assignments","[('Prof. Lee', 'professor'), ('CHEM102', 'course'), ('assignments', 'content_type')]"
"Week 4 assignments Dr. Garcia","find_lecture_materials","[('Dr. Garcia', 'professor'), ('4', 'week'), ('assignments', 'content_type')]"
"CHEM102 solutions week 5","find_lecture_materials","[('CHEM102', 'course'), ('5', 'week'), ('solutions', 'content_type')]"
"Dr. Amoako BIO205 exams","find_exam_materials","[('Dr. Amoako', 'professor'), ('BIO205', 'course'), ('exams', 'content_type')]"
"MATH202 solutions week 9","find_lecture_materials","[('MATH202', 'course'), ('9', 'week'), ('solutions', 'content_type')]"
"CS101 assignments week 10","find_lecture_materials","[('CS101', 'course'), ('10', 'week'), ('assignments', 'content_type')]"
"readings for MATH202","find_general_materials","[('MATH202', 'course'), ('readings', 'content_type')]"
"MATH202 readings week 11","find_lecture_materials","[('MATH202', 'course'), ('11', 'week'), ('readings', 'content_type')]"
"Week 8 exams Prof. Lee","find_lecture_materials","[('Prof. Lee', 'professor'), ('8', 'week'), ('exams', 'content_type')]"
"April 2022 readings","find_general_materials","[('readings', 'content_type')]"
"January 2021 lecture notes","find_general_materials","[('lecture notes', 'content_type')]"
"assignments for BIO205","find_assignments","[('BIO205', 'course'), ('assignments', 'content_type')]"
"CS101 readings week 1","find_lecture_materials","[('CS101', 'course'), ('1', 'week'), ('readings', 'content_type')]"
"Dr. Johnson CHEM102 slides","find_general_materials","[('Dr. Johnson', 'professor'), ('CHEM102', 'course'), ('slides', 'content_type')]"
"MATH202 exams week 9","find_lecture_materials","[('MATH202', 'course'), ('9', 'week'), ('exams', 'content_type')]"
"Dr. Johnson CS101 week 10 solutions","find_lecture_materials","[('Dr. Johnson', 'professor'), ('CS101', 'course'), ('10', 'week'), ('solutions', 'content_type')]"
"Week 12 solutions Dr. Amoako","find_lecture_materials","[('Dr. Amoako', 'professor'), ('12', 'week'), ('solutions', 'content_type')]"
"Prof. Smith assignments 2021","find_general_materials","[('Prof. Smith', 'professor'), ('assignments', 'content_type')]"
"CS101 assignments week 10","find_lecture_materials","[('CS101', 'course'), ('10', 'week'), ('assignments', 'content_type')]"
"Week 10 assignments Prof. Smith","find_lecture_materials","[('Prof. Smith', 'professor'), ('10', 'week'), ('assignments', 'content_type')]"
"Week 2 readings Prof. Smith","find_lecture_materials","[('Prof. Smith', 'professor'), ('2', 'week'), ('readings', 'content_type')]"
"Prof. Smith slides 2023","find_general_materials","[('Prof. Smith', 'professor'), ('slides', 'content_type')]"
"readings for CS101","find_general_materials","[('CS101', 'course'), ('readings', 'content_type')]"
"January 2022 lecture notes","find_general_materials","[('lecture notes', 'content_type')]"
"Dr. Johnson assignments 2023","find_general_materials","[('Dr. Johnson', 'professor'), ('assignments', 'content_type')]"
"Prof. Lee CHEM102 week 12 readings","find_lecture_materials","[('Prof. Lee', 'professor'), ('CHEM102', 'course'), ('12', 'week'), ('readings', 'content_type')]"
"Dr. Johnson assignments 2023","find_general_materials","[('Dr. Johnson', 'professor'), ('assignments', 'content_type')]"
"Dr. Amoako solutions 2021","find_general_materials","[('Dr. Amoako', 'professor'), ('solutions', 'content_type')]"
"Week 7 readings Prof. Smith","find_lecture_materials","[('Prof. Smith', 'professor'), ('7', 'week'), ('readings', 'content_type')]"
"Prof. Smith CS101 week 5 assignments","find_lecture_materials","[('Prof. Smith', 'professor'), ('CS101', 'course'), ('5', 'week'), ('assignments', 'content_type')]"
"Prof. Smith CHEM102 week 10 readings","find_lecture_materials","[('Prof. Smith', 'professor'), ('CHEM102', 'course'), ('10', 'week'), ('readings', 'content_type')]"
"assignments for MATH202","find_assignments","[('MATH202', 'course'), ('assignments', 'content_type')]"
"Dr. Garcia CHEM102 solutions","find_general_materials","[('Dr. Garcia', 'professor'), ('CHEM102', 'course'), ('solutions', 'content_type')]"
"Dr. Johnson solutions 2023","find_general_materials","[('Dr. Johnson', 'professor'), ('solutions', 'content_type')]"
"Prof. Lee BIO205 week 2 exams","find_lecture_materials","[('Prof. Lee', 'professor'), ('BIO205', 'course'), ('2', 'week'), ('exams', 'content_type')]"
"MATH202 readings week 9","find_lecture_materials","[('MATH202', 'course'), ('9', 'week'), ('readings', 'content_type')]"
"assignments for MATH202","find_assignments","[('MATH202', 'course'), ('assignments', 'content_type')]"
"Prof. Lee exams 2022","find_general_materials","[('Prof. Lee', 'professor'), ('exams', 'content_type')]"
"Prof. Lee solutions 2022","find_general_materials","[('Prof. Lee', 'professor'), ('solutions', 'content_type')]"
"October 2021 solutions","find_general_materials","[('solutions', 'content_type')]"
