name,description,file_type,size,tags,created_at,course,lecturer,semester,content_type,week
IT_Fundamentals_Week5_tutorial.pdf,Tutorial for IT Fundamentals (Spring 2024) - Week 5 by Dr. Amoako,pdf,26063872,"['week-5', 'spring-2024', 'it fundamentals', 'tutorial', 'amoako']",2023-12-07T15:22:34,IT Fundamentals,Dr. Amoako,Spring 2024,tutorial,Week 5
Computer_Networks_solution.pdf,Solution for Computer Networks (Summer 2024) by Dr. Amoako,pdf,23908352,"['computer networks', 'solution', 'summer-2024', 'amoako']",2025-07-09T06:31:01,Computer Networks,Dr. Amoako,Summer 2024,solution,
Data_Structures_solution.pdf,Solution for Data Structures (Spring 2024) by Dr. Amoako,pdf,52425728,"['amoako', 'solution', 'spring-2024', 'data structures']",2025-05-11T04:27:44,Data Structures,Dr. Amoako,Spring 2024,solution,
Calculus_I_exam.pdf,Exam for Calculus I (Summer 2024) by Dr. Gadaafi,pdf,44497920,"['exam', 'calculus i', 'gadaafi', 'summer-2024']",2025-05-25T19:58:58,Calculus I,Dr. Gadaafi,Summer 2024,exam,
Programming_Basics_exam.pdf,Exam for Programming Basics (Fall 2023) by Dr. Gadaafi,pdf,37709824,"['programming basics', 'gadaafi', 'exam', 'fall-2023']",2024-03-14T20:34:31,Programming Basics,Dr. Gadaafi,Fall 2023,exam,
Database_Systems_solution.pdf,Solution for Database Systems (Summer 2024) by Mrs. Nyarko,pdf,48818176,"['database systems', 'summer-2024', 'solution', 'nyarko']",2024-06-04T19:14:15,Database Systems,Mrs. Nyarko,Summer 2024,solution,
Programming_Basics_Week4_lecture_notes.pdf,Lecture notes for Programming Basics (Summer 2024) - Week 4 by Dr. Amoako,pdf,17752064,"['summer-2024', 'programming basics', 'week-4', 'amoako', 'lecture-notes']",2025-05-23T13:58:09,Programming Basics,Dr. Amoako,Summer 2024,lecture notes,Week 4
Operating_Systems_Week3_slides.pptx,Slides for Operating Systems (Spring 2024) - Week 3 by Prof. Mensah,pptx,39748608,"['spring-2024', 'mensah', 'slides', 'operating systems', 'week-3']",2025-04-21T15:40:15,Operating Systems,Prof. Mensah,Spring 2024,slides,Week 3
Computer_Networks_solution.pdf,Solution for Computer Networks (Spring 2024) by Dr. Gadaafi,pdf,39924736,"['computer networks', 'gadaafi', 'solution', 'spring-2024']",2024-08-13T19:14:03,Computer Networks,Dr. Gadaafi,Spring 2024,solution,
Operating_Systems_readings.pdf,Readings for Operating Systems (Spring 2024) by Dr. Amoako,pdf,6242304,"['readings', 'operating systems', 'amoako', 'spring-2024']",2025-02-06T00:56:53,Operating Systems,Dr. Amoako,Spring 2024,readings,
Calculus_I_Week12_tutorial.pdf,Tutorial for Calculus I (Spring 2024) - Week 12 by Dr. Gadaafi,pdf,34753536,"['calculus i', 'spring-2024', 'gadaafi', 'tutorial', 'week-12']",2024-07-01T20:26:16,Calculus I,Dr. Gadaafi,Spring 2024,tutorial,Week 12
Operating_Systems_exam.pdf,Exam for Operating Systems (Fall 2023) by Dr. Gadaafi,pdf,12407808,"['exam', 'fall-2023', 'operating systems', 'gadaafi']",2023-12-09T20:27:22,Operating Systems,Dr. Gadaafi,Fall 2023,exam,
Data_Structures_readings.pdf,Readings for Data Structures (Fall 2023) by Dr. Gadaafi,pdf,9748480,"['readings', 'gadaafi', 'data structures', 'fall-2023']",2023-11-15T00:46:07,Data Structures,Dr. Gadaafi,Fall 2023,readings,
Data_Structures_Week10_lecture_notes.pdf,Lecture notes for Data Structures (Fall 2023) - Week 10 by Dr. Gadaafi,pdf,4605952,"['fall-2023', 'data structures', 'gadaafi', 'week-10', 'lecture-notes']",2025-06-12T19:55:21,Data Structures,Dr. Gadaafi,Fall 2023,lecture notes,Week 10
Programming_Basics_exam.pdf,Exam for Programming Basics (Fall 2023) by Dr. Gadaafi,pdf,7614464,"['programming basics', 'gadaafi', 'exam', 'fall-2023']",2024-10-21T03:38:30,Programming Basics,Dr. Gadaafi,Fall 2023,exam,
Computer_Networks_readings.pdf,Readings for Computer Networks (Spring 2024) by Dr. Gadaafi,pdf,8400896,"['computer networks', 'readings', 'gadaafi', 'spring-2024']",2024-08-02T08:52:40,Computer Networks,Dr. Gadaafi,Spring 2024,readings,
Programming_Basics_Week6_slides.pptx,Slides for Programming Basics (Summer 2024) - Week 6 by Dr. Amoako,pptx,10087424,"['summer-2024', 'slides', 'programming basics', 'week-6', 'amoako']",2024-03-21T12:53:26,Programming Basics,Dr. Amoako,Summer 2024,slides,Week 6
Calculus_I_Week3_lecture_notes.pdf,Lecture notes for Calculus I (Fall 2023) - Week 3 by Dr. Gadaafi,pdf,17067008,"['calculus i', 'fall-2023', 'gadaafi', 'week-3', 'lecture-notes']",2024-01-18T16:24:18,Calculus I,Dr. Gadaafi,Fall 2023,lecture notes,Week 3
African_History_exam.pdf,Exam for African History (Fall 2023) by Prof. Mensah,pdf,11012096,"['exam', 'mensah', 'fall-2023', 'african history']",2024-07-24T20:04:16,African History,Prof. Mensah,Fall 2023,exam,
African_History_exam.pdf,Exam for African History (Fall 2023) by Dr. Gadaafi,pdf,32367616,"['exam', 'gadaafi', 'african history', 'fall-2023']",2023-12-02T01:37:34,African History,Dr. Gadaafi,Fall 2023,exam,
Calculus_I_Week8_lecture_notes.pdf,Lecture notes for Calculus I (Fall 2023) - Week 8 by Dr. Gadaafi,pdf,28449792,"['calculus i', 'fall-2023', 'week-8', 'gadaafi', 'lecture-notes']",2025-05-24T21:18:45,Calculus I,Dr. Gadaafi,Fall 2023,lecture notes,Week 8
Database_Systems_exam.pdf,Exam for Database Systems (Summer 2024) by Mrs. Nyarko,pdf,16804864,"['exam', 'database systems', 'summer-2024', 'nyarko']",2024-07-16T20:36:27,Database Systems,Mrs. Nyarko,Summer 2024,exam,
Data_Structures_solution.pdf,Solution for Data Structures (Spring 2024) by Mrs. Nyarko,pdf,13089792,"['solution', 'spring-2024', 'data structures', 'nyarko']",2025-03-20T10:23:13,Data Structures,Mrs. Nyarko,Spring 2024,solution,
Database_Systems_assignments.docx,Assignments for Database Systems (Fall 2023) by Prof. Mensah,docx,40085504,"['database systems', 'fall-2023', 'mensah', 'assignments']",2024-12-05T12:44:43,Database Systems,Prof. Mensah,Fall 2023,assignments,
Data_Structures_solution.pdf,Solution for Data Structures (Summer 2024) by Mrs. Nyarko,pdf,31696896,"['solution', 'summer-2024', 'data structures', 'nyarko']",2024-11-09T17:14:08,Data Structures,Mrs. Nyarko,Summer 2024,solution,
Programming_Basics_readings.pdf,Readings for Programming Basics (Fall 2023) by Mrs. Nyarko,pdf,47693824,"['programming basics', 'readings', 'fall-2023', 'nyarko']",2023-11-11T00:15:49,Programming Basics,Mrs. Nyarko,Fall 2023,readings,
Calculus_I_Week3_tutorial.pdf,Tutorial for Calculus I (Spring 2024) - Week 3 by Dr. Amoako,pdf,40080384,"['calculus i', 'spring-2024', 'tutorial', 'week-3', 'amoako']",2025-01-29T11:10:22,Calculus I,Dr. Amoako,Spring 2024,tutorial,Week 3
Programming_Basics_Week4_tutorial.pdf,Tutorial for Programming Basics (Spring 2024) - Week 4 by Dr. Gadaafi,pdf,47439872,"['spring-2024', 'programming basics', 'week-4', 'gadaafi', 'tutorial']",2024-07-19T04:33:34,Programming Basics,Dr. Gadaafi,Spring 2024,tutorial,Week 4
Database_Systems_exam.pdf,Exam for Database Systems (Fall 2023) by Dr. Gadaafi,pdf,24855552,"['exam', 'database systems', 'gadaafi', 'fall-2023']",2025-04-29T08:39:21,Database Systems,Dr. Gadaafi,Fall 2023,exam,
Data_Structures_Week2_lecture_notes.pdf,Lecture notes for Data Structures (Summer 2024) - Week 2 by Dr. Amoako,pdf,35792896,"['summer-2024', 'week-2', 'data structures', 'amoako', 'lecture-notes']",2024-12-28T03:57:37,Data Structures,Dr. Amoako,Summer 2024,lecture notes,Week 2
Database_Systems_exam.pdf,Exam for Database Systems (Summer 2024) by Dr. Gadaafi,pdf,25155584,"['exam', 'database systems', 'gadaafi', 'summer-2024']",2025-03-07T04:31:45,Database Systems,Dr. Gadaafi,Summer 2024,exam,
Operating_Systems_exam.pdf,Exam for Operating Systems (Spring 2024) by Mrs. Nyarko,pdf,12476416,"['exam', 'spring-2024', 'operating systems', 'nyarko']",2024-07-18T19:08:59,Operating Systems,Mrs. Nyarko,Spring 2024,exam,
Operating_Systems_assignments.docx,Assignments for Operating Systems (Spring 2024) by Prof. Mensah,docx,29029376,"['mensah', 'operating systems', 'spring-2024', 'assignments']",2024-12-15T01:44:00,Operating Systems,Prof. Mensah,Spring 2024,assignments,
Computer_Networks_Week5_lecture_notes.pdf,Lecture notes for Computer Networks (Fall 2023) - Week 5 by Dr. Gadaafi,pdf,3537920,"['week-5', 'fall-2023', 'computer networks', 'gadaafi', 'lecture-notes']",2024-04-04T10:30:37,Computer Networks,Dr. Gadaafi,Fall 2023,lecture notes,Week 5
Computer_Networks_exam.pdf,Exam for Computer Networks (Summer 2024) by Dr. Gadaafi,pdf,381952,"['computer networks', 'summer-2024', 'gadaafi', 'exam']",2025-03-22T23:02:12,Computer Networks,Dr. Gadaafi,Summer 2024,exam,
Programming_Basics_exam.pdf,Exam for Programming Basics (Spring 2024) by Dr. Gadaafi,pdf,6562816,"['programming basics', 'gadaafi', 'exam', 'spring-2024']",2023-11-08T19:37:13,Programming Basics,Dr. Gadaafi,Spring 2024,exam,
African_History_assignments.docx,Assignments for African History (Fall 2023) by Dr. Amoako,docx,555008,"['amoako', 'fall-2023', 'african history', 'assignments']",2025-06-16T14:59:31,African History,Dr. Amoako,Fall 2023,assignments,
Data_Structures_exam.pdf,Exam for Data Structures (Summer 2024) by Dr. Amoako,pdf,36935680,"['amoako', 'summer-2024', 'data structures', 'exam']",2024-06-12T03:25:16,Data Structures,Dr. Amoako,Summer 2024,exam,
Data_Structures_solution.pdf,Solution for Data Structures (Summer 2024) by Prof. Mensah,pdf,46252032,"['solution', 'mensah', 'summer-2024', 'data structures']",2024-06-15T01:41:19,Data Structures,Prof. Mensah,Summer 2024,solution,
Programming_Basics_Week6_lecture_notes.pdf,Lecture notes for Programming Basics (Spring 2024) - Week 6 by Dr. Amoako,pdf,21947392,"['spring-2024', 'programming basics', 'week-6', 'amoako', 'lecture-notes']",2024-11-01T04:12:01,Programming Basics,Dr. Amoako,Spring 2024,lecture notes,Week 6
Programming_Basics_assignments.docx,Assignments for Programming Basics (Spring 2024) by Prof. Mensah,docx,40335360,"['programming basics', 'mensah', 'spring-2024', 'assignments']",2023-09-20T12:09:57,Programming Basics,Prof. Mensah,Spring 2024,assignments,
Calculus_I_readings.pdf,Readings for Calculus I (Summer 2024) by Mrs. Nyarko,pdf,25072640,"['readings', 'calculus i', 'summer-2024', 'nyarko']",2024-08-22T17:17:42,Calculus I,Mrs. Nyarko,Summer 2024,readings,
Database_Systems_Week12_tutorial.pdf,Tutorial for Database Systems (Summer 2024) - Week 12 by Mrs. Nyarko,pdf,34257920,"['summer-2024', 'database systems', 'nyarko', 'tutorial', 'week-12']",2023-11-19T02:06:02,Database Systems,Mrs. Nyarko,Summer 2024,tutorial,Week 12
Database_Systems_Week3_tutorial.pdf,Tutorial for Database Systems (Fall 2023) - Week 3 by Dr. Gadaafi,pdf,19112960,"['database systems', 'fall-2023', 'gadaafi', 'tutorial', 'week-3']",2023-09-08T23:35:05,Database Systems,Dr. Gadaafi,Fall 2023,tutorial,Week 3
Computer_Networks_assignments.docx,Assignments for Computer Networks (Spring 2024) by Mrs. Nyarko,docx,12862464,"['computer networks', 'spring-2024', 'assignments', 'nyarko']",2024-07-01T19:33:35,Computer Networks,Mrs. Nyarko,Spring 2024,assignments,
Computer_Networks_exam.pdf,Exam for Computer Networks (Spring 2024) by Dr. Amoako,pdf,3049472,"['computer networks', 'spring-2024', 'amoako', 'exam']",2025-04-18T22:48:15,Computer Networks,Dr. Amoako,Spring 2024,exam,
Calculus_I_exam.pdf,Exam for Calculus I (Summer 2024) by Prof. Mensah,pdf,21803008,"['exam', 'calculus i', 'summer-2024', 'mensah']",2024-12-24T01:43:54,Calculus I,Prof. Mensah,Summer 2024,exam,
Calculus_I_solution.pdf,Solution for Calculus I (Fall 2023) by Dr. Gadaafi,pdf,33117184,"['calculus i', 'gadaafi', 'solution', 'fall-2023']",2025-06-09T04:32:16,Calculus I,Dr. Gadaafi,Fall 2023,solution,
Database_Systems_assignments.docx,Assignments for Database Systems (Spring 2024) by Prof. Mensah,docx,8226816,"['database systems', 'spring-2024', 'mensah', 'assignments']",2023-12-28T07:10:49,Database Systems,Prof. Mensah,Spring 2024,assignments,
Data_Structures_solution.pdf,Solution for Data Structures (Fall 2023) by Prof. Mensah,pdf,47056896,"['solution', 'mensah', 'fall-2023', 'data structures']",2024-08-09T15:30:33,Data Structures,Prof. Mensah,Fall 2023,solution,
Programming_Basics_Week9_lecture_notes.pdf,Lecture notes for Programming Basics (Spring 2024) - Week 9 by Prof. Mensah,pdf,21051392,"['spring-2024', 'mensah', 'week-9', 'programming basics', 'lecture-notes']",2023-08-06T16:19:35,Programming Basics,Prof. Mensah,Spring 2024,lecture notes,Week 9
IT_Fundamentals_readings.pdf,Readings for IT Fundamentals (Summer 2024) by Mrs. Nyarko,pdf,51420160,"['readings', 'it fundamentals', 'summer-2024', 'nyarko']",2023-09-10T07:17:56,IT Fundamentals,Mrs. Nyarko,Summer 2024,readings,
IT_Fundamentals_solution.pdf,Solution for IT Fundamentals (Summer 2024) by Mrs. Nyarko,pdf,36037632,"['it fundamentals', 'summer-2024', 'solution', 'nyarko']",2023-08-09T20:16:41,IT Fundamentals,Mrs. Nyarko,Summer 2024,solution,
African_History_Week4_tutorial.pdf,Tutorial for African History (Summer 2024) - Week 4 by Dr. Amoako,pdf,1747968,"['summer-2024', 'week-4', 'tutorial', 'amoako', 'african history']",2024-09-21T06:53:58,African History,Dr. Amoako,Summer 2024,tutorial,Week 4
African_History_assignments.docx,Assignments for African History (Summer 2024) by Dr. Amoako,docx,33285120,"['amoako', 'summer-2024', 'african history', 'assignments']",2023-11-24T10:43:21,African History,Dr. Amoako,Summer 2024,assignments,
Calculus_I_solution.pdf,Solution for Calculus I (Spring 2024) by Dr. Amoako,pdf,42583040,"['solution', 'calculus i', 'spring-2024', 'amoako']",2023-12-19T02:12:45,Calculus I,Dr. Amoako,Spring 2024,solution,
Database_Systems_Week11_lecture_notes.pdf,Lecture notes for Database Systems (Spring 2024) - Week 11 by Prof. Mensah,pdf,4151296,"['spring-2024', 'week-11', 'database systems', 'mensah', 'lecture-notes']",2023-08-25T08:32:49,Database Systems,Prof. Mensah,Spring 2024,lecture notes,Week 11
Database_Systems_Week1_lecture_notes.pdf,Lecture notes for Database Systems (Summer 2024) - Week 1 by Mrs. Nyarko,pdf,8607744,"['summer-2024', 'database systems', 'nyarko', 'week-1', 'lecture-notes']",2024-07-30T10:21:04,Database Systems,Mrs. Nyarko,Summer 2024,lecture notes,Week 1
Calculus_I_exam.pdf,Exam for Calculus I (Summer 2024) by Mrs. Nyarko,pdf,51891200,"['exam', 'calculus i', 'summer-2024', 'nyarko']",2023-11-22T02:58:30,Calculus I,Mrs. Nyarko,Summer 2024,exam,
Database_Systems_Week10_tutorial.pdf,Tutorial for Database Systems (Fall 2023) - Week 10 by Dr. Gadaafi,pdf,13708288,"['database systems', 'fall-2023', 'gadaafi', 'tutorial', 'week-10']",2025-02-14T14:56:57,Database Systems,Dr. Gadaafi,Fall 2023,tutorial,Week 10
Database_Systems_exam.pdf,Exam for Database Systems (Summer 2024) by Dr. Amoako,pdf,44132352,"['exam', 'database systems', 'summer-2024', 'amoako']",2025-05-21T18:03:31,Database Systems,Dr. Amoako,Summer 2024,exam,
Calculus_I_exam.pdf,Exam for Calculus I (Fall 2023) by Dr. Gadaafi,pdf,14948352,"['exam', 'calculus i', 'gadaafi', 'fall-2023']",2023-12-15T10:05:55,Calculus I,Dr. Gadaafi,Fall 2023,exam,
Computer_Networks_readings.pdf,Readings for Computer Networks (Fall 2023) by Mrs. Nyarko,pdf,22631424,"['computer networks', 'readings', 'fall-2023', 'nyarko']",2023-08-16T08:19:55,Computer Networks,Mrs. Nyarko,Fall 2023,readings,
Computer_Networks_exam.pdf,Exam for Computer Networks (Summer 2024) by Dr. Gadaafi,pdf,47557632,"['computer networks', 'summer-2024', 'gadaafi', 'exam']",2023-12-19T01:14:27,Computer Networks,Dr. Gadaafi,Summer 2024,exam,
IT_Fundamentals_exam.pdf,Exam for IT Fundamentals (Summer 2024) by Mrs. Nyarko,pdf,28263424,"['exam', 'it fundamentals', 'summer-2024', 'nyarko']",2024-12-09T07:39:07,IT Fundamentals,Mrs. Nyarko,Summer 2024,exam,
Programming_Basics_Week9_slides.pptx,Slides for Programming Basics (Summer 2024) - Week 9 by Dr. Amoako,pptx,21709824,"['summer-2024', 'slides', 'week-9', 'programming basics', 'amoako']",2024-07-21T18:15:44,Programming Basics,Dr. Amoako,Summer 2024,slides,Week 9
Data_Structures_assignments.docx,Assignments for Data Structures (Fall 2023) by Mrs. Nyarko,docx,18052096,"['fall-2023', 'data structures', 'assignments', 'nyarko']",2025-06-10T02:46:44,Data Structures,Mrs. Nyarko,Fall 2023,assignments,
African_History_Week2_slides.pptx,Slides for African History (Summer 2024) - Week 2 by Dr. Amoako,pptx,5929984,"['summer-2024', 'week-2', 'slides', 'amoako', 'african history']",2025-02-15T14:20:54,African History,Dr. Amoako,Summer 2024,slides,Week 2
Operating_Systems_exam.pdf,Exam for Operating Systems (Spring 2024) by Prof. Mensah,pdf,30440448,"['exam', 'mensah', 'operating systems', 'spring-2024']",2025-06-07T11:16:21,Operating Systems,Prof. Mensah,Spring 2024,exam,
Data_Structures_assignments.docx,Assignments for Data Structures (Spring 2024) by Dr. Amoako,docx,42864640,"['amoako', 'spring-2024', 'data structures', 'assignments']",2024-03-03T17:36:28,Data Structures,Dr. Amoako,Spring 2024,assignments,
Programming_Basics_Week2_slides.pptx,Slides for Programming Basics (Spring 2024) - Week 2 by Dr. Amoako,pptx,15930368,"['spring-2024', 'week-2', 'slides', 'programming basics', 'amoako']",2023-11-22T15:51:31,Programming Basics,Dr. Amoako,Spring 2024,slides,Week 2
IT_Fundamentals_Week9_slides.pptx,Slides for IT Fundamentals (Spring 2024) - Week 9 by Dr. Amoako,pptx,10280960,"['spring-2024', 'slides', 'week-9', 'it fundamentals', 'amoako']",2024-12-20T05:44:23,IT Fundamentals,Dr. Amoako,Spring 2024,slides,Week 9
Programming_Basics_assignments.docx,Assignments for Programming Basics (Summer 2024) by Dr. Amoako,docx,18426880,"['programming basics', 'summer-2024', 'amoako', 'assignments']",2024-12-23T15:51:57,Programming Basics,Dr. Amoako,Summer 2024,assignments,
Computer_Networks_exam.pdf,Exam for Computer Networks (Summer 2024) by Prof. Mensah,pdf,48812032,"['computer networks', 'mensah', 'summer-2024', 'exam']",2024-06-06T08:49:21,Computer Networks,Prof. Mensah,Summer 2024,exam,
Calculus_I_readings.pdf,Readings for Calculus I (Summer 2024) by Mrs. Nyarko,pdf,39949312,"['readings', 'calculus i', 'summer-2024', 'nyarko']",2025-06-23T13:37:16,Calculus I,Mrs. Nyarko,Summer 2024,readings,
Operating_Systems_Week1_lecture_notes.pdf,Lecture notes for Operating Systems (Spring 2024) - Week 1 by Dr. Amoako,pdf,11939840,"['spring-2024', 'operating systems', 'week-1', 'amoako', 'lecture-notes']",2023-11-06T00:03:03,Operating Systems,Dr. Amoako,Spring 2024,lecture notes,Week 1
African_History_Week4_lecture_notes.pdf,Lecture notes for African History (Fall 2023) - Week 4 by Dr. Gadaafi,pdf,39638016,"['fall-2023', 'week-4', 'gadaafi', 'african history', 'lecture-notes']",2024-09-27T14:33:42,African History,Dr. Gadaafi,Fall 2023,lecture notes,Week 4
African_History_Week12_tutorial.pdf,Tutorial for African History (Spring 2024) - Week 12 by Dr. Gadaafi,pdf,32449536,"['spring-2024', 'gadaafi', 'tutorial', 'african history', 'week-12']",2023-10-23T21:02:57,African History,Dr. Gadaafi,Spring 2024,tutorial,Week 12
Operating_Systems_Week4_tutorial.pdf,Tutorial for Operating Systems (Summer 2024) - Week 4 by Mrs. Nyarko,pdf,6296576,"['summer-2024', 'nyarko', 'week-4', 'tutorial', 'operating systems']",2024-09-21T13:54:15,Operating Systems,Mrs. Nyarko,Summer 2024,tutorial,Week 4
Calculus_I_exam.pdf,Exam for Calculus I (Summer 2024) by Prof. Mensah,pdf,23161856,"['exam', 'calculus i', 'summer-2024', 'mensah']",2024-04-13T15:10:16,Calculus I,Prof. Mensah,Summer 2024,exam,
Calculus_I_Week7_slides.pptx,Slides for Calculus I (Fall 2023) - Week 7 by Dr. Amoako,pptx,3313664,"['calculus i', 'week-7', 'fall-2023', 'slides', 'amoako']",2024-12-30T17:57:36,Calculus I,Dr. Amoako,Fall 2023,slides,Week 7
Calculus_I_assignments.docx,Assignments for Calculus I (Spring 2024) by Dr. Amoako,docx,15011840,"['calculus i', 'spring-2024', 'amoako', 'assignments']",2023-08-13T00:10:18,Calculus I,Dr. Amoako,Spring 2024,assignments,
